record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,state_IDC,muni_IDC,dispersive_IDC,constraining_IDC,inclusive_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,lngdppc_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS,v2x_polyarchy_VDEM
R_1nVkn9M5sKYwzKVDy,9781130Dy,new_entry,correction,,,President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Ghana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.myjoyonline.com/news/national/livestream-akufo-addo-provides-latest-updates-on-coronavirus/,2020-04-28,2020-04-28T10:26:29Z,6,0,0,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1nVkn9M5sKYwzKVEa,9781130Ea,new_entry,correction,,,President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Ghana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.myjoyonline.com/news/national/livestream-akufo-addo-provides-latest-updates-on-coronavirus/,2020-04-28,2020-04-28T10:26:29Z,6,0,0,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1nVkn9M5sKYwzKVFj,9781130Fj,new_entry,correction,,,President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ghana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.myjoyonline.com/news/national/livestream-akufo-addo-provides-latest-updates-on-coronavirus/,2020-04-28,2020-04-28T10:26:29Z,6,0,0,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1nVkn9M5sKYwzKVCe,9781130Ce,new_entry,correction,,,President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Ghana,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://www.myjoyonline.com/news/national/livestream-akufo-addo-provides-latest-updates-on-coronavirus/,2020-04-28,2020-04-28T10:26:29Z,6,0,0,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_3ndWfUPRWQIjrDVFj,7361873Fj,new_entry,original,,,"President Akufo-Addo has announced the reopening of schools for final year students at all levels of education on Monday, June 15, 2020.",2020-05-31,2020-06-15,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.myjoyonline.com/news/education/final-year-students-to-resume-classes-towards-exams-from-june-15/,2020-06-11,2020-06-11T19:37:42Z,11964,54,4258,2039,258010,8.303,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_3ndWfUPRWQIjrDVCe,7361873Ce,new_entry,original,,,"President Akufo-Addo has announced the reopening of schools for final year students at all levels of education on Monday, June 15, 2020.",2020-05-31,2020-06-15,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://www.myjoyonline.com/news/education/final-year-students-to-resume-classes-towards-exams-from-june-15/,2020-06-11,2020-06-11T19:37:42Z,11964,54,4258,2039,258010,8.303,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_zeFn1Tlos1dOLvjFm,3958590,new_entry,original,,,"Ghana was shipped 600,000 doses of the AstraZeneca/Oxford  COVID-19 vaccine from the COVAX facility on 02/23/2021. Vaccines will be administered to 43 different districts within Ghana based on set group types within the nation.",2021-02-23,2021-02-24,,Ghana,GHA,GH,National,1,,,,COVID-19 Vaccines,Shipping of the vaccine,,,Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,New (COVID-19 specific) Task Force",,,,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:a39b6de7-72c5-4910-9df6-b68f021c9c0e ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:24336193-2600-4147-8d1b-0dd1178ddf51 ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:89efaa1f-1dde-4be4-910b-4a3eccc3ea49,2021-03-25,2021-03-25T22:10:28Z,81245,584,74047,3970,893602,28.758,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_vUgPXwZ8G3B568xAj,2453858,new_entry,original,,,"From March 2, 2021, to March 9, 2021, Ghana began its distribution of the AstraZeneca (Covishield) vaccine to the three most affected regions: Greater Accra, Ashanti, and Central Ghana. It prioritized health care workers, front-line workers, adults over 60, and persons with underlying co-morbidities.",2021-03-02,2021-03-02,2021-04-09,Ghana,GHA,GH,National,1,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,,Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:d5efed8b-1cf4-42bd-bbf6-de575f54a2ea,2021-04-14,2021-04-14T16:20:56Z,84023,607,77972,4024,917581,29.53,,,28893,,930,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_2ug9WSj2g4m8c6JAj,8059643,new_entry,original,,,"On March 21, the second round of vaccine distribution was on its way in Ghana. The aim was to target all healthcare workers within all regions of Ghana.",2021-03-21,2021-03-21,2021-04-04,Ghana,GHA,GH,National,1,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,,Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:6bfc0bef-2c66-4130-92f4-aff7988e7ff4,2021-04-14,2021-04-14T16:30:35Z,89682,725,85761,3664,979476,31.522,,,14286,,460,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_22skTh9vwMdxKvoNA,5636453,new_entry,correction,,,"""The government of Ghana has imposed a temporary ban on travelers from countries that have recorded 200 or more cases of coronavirus. This ban is however not applicable to Ghanaian citizens or foreigners with valid Ghanaian resident permits.
The government also instituted a 14 day mandatory quarantine for those allowed to enter the country""",2020-03-15,2020-03-15,,Ghana,GHA,GH,National,1,,,,External Border Restrictions,,,,"China,Iraq,Italy,South Korea","One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Ghana-imposes-travel-ban-on-countries-with-200-or-more-cases-of-coronavirus-895048,2020-04-26,2020-04-26T15:26:16Z,6,0,0,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_6hDwCrujn4fabIZNA,2226876,new_entry,correction,,,President of Ghana orders closure of all borders of the country,2020-03-22,2020-03-22,,Ghana,GHA,GH,National,1,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,All kinds of transport (all below except visa restrictions),Mandatory (Unspecified/Implied),National Government,,,,,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Coronavirus-Akufo-Addo-shuts-down-Ghana-s-borders-from-Sunday-900712,2020-06-02,2020-06-02T11:51:16Z,23,1,0,,315,0.01,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_2tA4C6vKPDxAC5SDc,390973,new_entry,correction,,,"Borders of country closed till further notice.  However, given that there are Ghana residents stranded abroad, special dispensation is going to be given for their evacuation back to Ghana, where they will be subjected to the mandatory quarantine and safety protocols.",2020-05-11,2020-03-22,,Ghana,GHA,GH,National,1,,,,External Border Restrictions,Other External Border Restriction,,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://www.graphic.com.gh/news/general-news/covid-19-restrictions-in-ghana-borders-still-closed-for-human-traffic.html,2020-07-25,2020-07-25T01:28:42Z,23,1,0,,315,0.01,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1cSNW194mdLTfffNA,2226876,update,original,,,"President of Ghana extends closure of all borders of the country to two more weeks UPDATE: The closure of all borders of Ghana which was meant to last for 2 weeks has been extended for two more weeks beginning April 5, 2020.",2020-04-04,2020-04-05,,Ghana,GHA,GH,National,0,,,,External Border Restrictions,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://citinewsroom.com/2020/04/akufo-addo-extends-closure-of-ghanas-borders-by-two-weeks/,2020-04-05,2020-04-05T14:05:07Z,214,5,31,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_2YmNdf1WnxCKHkrNA,2226876,update,original,,Strengthening,President Nana Addo Dankwa Akufo-Addo has extended the closure of Ghana’s borders for two more weeks. UPDATE: President Nana Addo Dankwa Akufo-Addo has extended the closure of Ghana’s borders for two more weeks.,2020-04-19,2020-04-20,,Ghana,GHA,GH,National,1,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://newsghana.com.gh/covid-19-akufo-addo-extends-border-closure-by-two-weeks/,2020-04-21,2020-04-21T14:59:12Z,1042,9,99,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_2v5IhteWPqZJPuCNA,2226876,update,original,Change of Policy,Strengthening,President Nana Addo Dankwa Akufo-Addo has extended the closure of the country’s borders by one month. UPDATE: President Nana Addo Dankwa Akufo-Addo has extended the closure of the country’s borders by one month.,2020-05-01,2020-05-04,2020-05-31,Ghana,GHA,GH,National,1,,,,External Border Restrictions,,,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://citinewsroom.com/2020/05/akufo-addo-extends-closure-of-ghanas-borders-by-one-month/,2020-05-05,2020-05-05T19:58:53Z,2719,18,294,,135902,4.374,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1gApAHOnP0iI0c9Dc,390973,update,original,End of Policy,,"Borders of country closed till further notice.  However, given that there are Ghana residents stranded abroad, special dispensation is going to be given for their evacuation back to Ghana, where they will be subjected to the mandatory quarantine and safety protocols.


Ghana will reopen air borders to international travel as of September 1 after closing them in March to limit the spread of the coronavirus, President Nana Akufo-Addo said in a speech to the nation on Sunday UPDATE: Ghana will reopen air borders to international travel as of September 1 after closing them in March to limit the spread of the coronavirus, President Nana Akufo-Addo said in a speech to the nation on Sunday",2020-08-30,2020-09-01,,Ghana,GHA,GH,National,1,,,,External Border Restrictions,Other External Border Restriction,,,All countries,All countries,,,,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,NA ; http://www.presidency.gov.gh/index.php/briefing-room/speeches/1674-update-no-16-measures-taken-to-combat-spread-of-coronavirus,2020-09-01,2020-09-01T01:43:24Z,44460,276,43121,555,446208,14.36,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_2Qm0p29T40mJd6UNA,3420243,new_entry,original,,,"the Ministry of Health (MoH) has extended enhanced passenger screening at the Kotoka International Airport (KIA) to all international arrivals.
The filling of health declaration forms by only passengers with connections from China, which began on January 24, 2020, now covers all arrivals at the KIA.
",2020-03-20,2020-01-24,,Ghana,GHA,GH,National,0,,,,Health Monitoring,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Flights,Mandatory with Fines,"National Government,Ministry/Department of Health",,,,,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Health-Ministry-widens-coronavirus-screening-at-Kotoka-airport-850936,2020-03-29,2020-03-29T14:46:17Z,0,0,0,,,,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1roeO97K4twyPrWNA,4616938,new_entry,correction,,,Contacting tracing being performed by Ministry of health in Ghana to identify potential coronavirus cases,2020-03-22,2020-03-22,,Ghana,GHA,GH,National,1,,,,Health Monitoring,,,,Ghana,One or more provinces within one or more countries,,All regions in the country,,,All Residents (Citizen Residents + Foreign Residents),Inbound,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.youtube.com/watch?v=m3VpF0XBTo0 ; https://www.myjoyonline.com/news/national/coronavirus-update-contact-tracing-ongoing-ghs-boss/,2020-06-02,2020-06-02T12:14:05Z,23,1,0,,315,0.01,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
R_1QAwlMUlhe0vFFWNA,897445,new_entry,original,,,A directive from the Ministry of Health has made the wearing of face masks mandatory for every Ghanaian across the country.,2020-04-25,2020-04-25,,Ghana,GHA,GH,National,1,,,,Health Monitoring,,,,Ghana,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",,,,,https://www.pulse.com.gh/news/local/covid-19-govt-makes-wearing-of-face-masks-mandatory-nationwide/bl0yzzz,2020-04-28,2020-04-28T14:06:18Z,1279,10,134,,100622,3.238,,,,,,26,1795,1,,-0.06289643,0.992205441,-0.20141026,11,43,27409893,46504846805,1696.64459,3.917221644,17.1264145,24.5628223,7.43640781,2,1,0.60629946,-0.0477043,719236,0.68225712
