date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200326,AK,59,1801,,3,1,1860,2020-03-26T20:00:00Z,1860,0,2,152,17,169
20200326,AL,506,3593,,,1,4099,2020-03-26T20:00:00Z,4099,1,0,1064,223,1287
20200326,AR,335,1504,0,41,3,1839,2020-03-26T20:00:00Z,1839,1,19,67,55,122
20200326,AS,0,,,,0,0,2020-03-26T20:00:00Z,0,0,0,0,0,0
20200326,AZ,577,347,33,66,8,957,2020-03-26T20:00:00Z,924,2,58,24,127,151
20200326,CA,3006,17380,57400,,65,77786,2020-03-26T20:00:00Z,20386,12,0,1459,651,2110
20200326,CO,1086,6978,,148,19,8064,2020-03-26T20:00:00Z,8064,8,64,189,174,363
20200326,CT,1012,5625,,125,21,6637,2020-03-26T20:00:00Z,6637,2,12,602,137,739
20200326,DC,231,1626,1,,3,1858,2020-03-26T20:00:00Z,1857,1,0,203,48,251
20200326,DE,130,36,,13,1,166,2020-03-26T20:00:00Z,166,1,2,0,15,15
20200326,FL,2355,23741,1443,406,28,27539,2020-03-26T20:00:00Z,26096,6,90,8367,673,9040
20200326,GA,1525,7401,,473,48,8926,2020-03-26T20:00:00Z,8926,8,79,2469,278,2747
20200326,GU,45,263,,11,1,308,2020-03-26T20:00:00Z,308,0,1,30,8,38
20200326,HI,95,4357,,5,,4452,2020-03-26T20:00:00Z,4452,0,-1,0,5,5
20200326,IA,179,2578,,46,1,2757,2020-03-26T20:00:00Z,2757,0,10,0,34,34
20200326,ID,123,2065,,,0,2188,2020-03-26T20:00:00Z,2188,0,0,178,50,228
20200326,IL,2538,14093,,,26,16631,2020-03-26T20:00:00Z,16631,7,0,1749,673,2422
20200326,IN,645,4006,,,17,4651,2020-03-26T20:00:00Z,4651,3,0,1127,168,1295
20200326,KS,168,2869,,,3,3037,2020-03-26T20:00:00Z,3037,0,0,509,42,551
20200326,KY,198,3102,,,4,3300,2020-03-26T20:00:00Z,3300,0,0,237,41,278
20200326,LA,2305,15724,,676,83,18029,2020-03-26T20:00:00Z,18029,18,185,6068,510,6578
20200326,MA,2417,21204,,219,25,23621,2020-03-26T20:00:00Z,23621,10,116,3248,579,3827
20200326,MD,580,94,,132,4,674,2020-03-26T20:00:00Z,674,0,132,0,157,157
20200326,ME,155,3394,,,,3549,2020-03-26T20:00:00Z,3549,0,0,217,6,223
20200326,MI,2856,6550,,,60,9406,2020-03-26T20:00:00Z,9406,17,0,4481,562,5043
20200326,MN,346,12604,,41,2,12950,2020-03-26T20:00:00Z,12950,1,6,1416,59,1475
20200326,MO,502,369,,,8,871,2020-03-26T20:00:00Z,871,0,0,0,146,146
20200326,MP,0,,,,0,0,2020-03-26T20:00:00Z,0,0,0,0,0,0
20200326,MS,485,2291,,150,6,2776,2020-03-26T20:00:00Z,2776,4,33,725,108,833
20200326,MT,71,2128,,1,,2199,2020-03-26T20:00:00Z,2199,0,1,180,18,198
20200326,NC,636,12274,,29,2,12910,2020-03-26T20:00:00Z,12910,1,0,2289,132,2421
20200326,ND,52,2039,,10,0,2091,2020-03-26T20:00:00Z,2091,0,2,305,13,318
20200326,NE,73,1584,,,0,1657,2020-03-26T20:00:00Z,1657,0,0,280,12,292
20200326,NH,137,3001,712,19,1,3850,2020-03-26T20:00:00Z,3138,0,6,645,29,674
20200326,NJ,6876,13661,,,81,20537,2020-03-26T20:00:00Z,20537,19,0,3209,2474,5683
20200326,NM,112,7681,,,1,7793,2020-03-26T20:00:00Z,7793,0,0,939,12,951
20200326,NV,420,4697,,,10,5117,2020-03-26T20:00:00Z,5117,4,0,446,99,545
20200326,NY,37258,84846,,6844,385,122104,2020-03-26T20:00:00Z,122104,100,3039,12178,6447,18625
20200326,OH,867,16449,,223,15,17316,2020-03-26T20:00:00Z,17316,5,41,2389,163,2552
20200326,OK,248,958,,86,7,1206,2020-03-26T20:00:00Z,1206,2,27,153,84,237
20200326,OR,327,6953,,90,11,7280,2020-03-26T20:00:00Z,7280,3,29,2603,118,2721
20200326,PA,1687,16441,,,16,18128,2020-03-26T20:00:00Z,18128,5,0,5248,560,5808
20200326,PR,64,377,335,,2,776,2020-03-26T20:00:00Z,441,0,0,60,13,73
20200326,RI,165,1339,181,23,,1685,2020-03-26T20:00:00Z,1504,0,7,196,41,237
20200326,SC,456,2307,,109,9,2763,2020-03-26T20:00:00Z,2763,2,7,4,32,36
20200326,SD,46,1973,125,,1,2144,2020-03-26T20:00:00Z,2019,0,0,1154,5,1159
20200326,TN,957,13952,,76,3,14909,2020-03-26T20:00:00Z,14909,0,23,2940,173,3113
20200326,TX,1396,20028,,,18,21424,2020-03-26T20:00:00Z,21424,6,0,7508,422,7930
20200326,UT,402,7308,,,1,7710,2020-03-26T20:00:00Z,7710,0,0,817,56,873
20200326,VA,460,5729,,65,13,6189,2020-03-26T20:00:00Z,6189,4,6,750,69,819
20200326,VI,17,55,2,,0,74,2020-03-26T20:00:00Z,72,0,0,0,0,0
20200326,VT,158,1850,,,9,2008,2020-03-26T20:00:00Z,2008,1,0,261,35,296
20200326,WA,2580,31712,,,132,34292,2020-03-26T20:00:00Z,34292,9,0,0,111,111
20200326,WI,707,11583,,,8,12290,2020-03-26T20:00:00Z,12290,1,0,1494,122,1616
20200326,WV,51,1031,19,1,0,1101,2020-03-26T20:00:00Z,1082,0,0,272,12,284
20200326,WY,53,1052,,,,1105,2020-03-26T20:00:00Z,1105,0,0,98,9,107
20200325,AK,42,1649,,1,1,1691,2020-03-25T20:00:00Z,1691,1,1,663,6,669
20200325,AL,283,2529,,,0,2812,2020-03-25T20:00:00Z,2812,0,0,423,68,491
20200325,AR,280,1437,0,22,2,1717,2020-03-25T20:00:00Z,1717,2,0,490,62,552
20200325,AS,0,,,,0,0,2020-03-25T20:00:00Z,0,0,0,0,0,0
20200325,AZ,450,323,53,8,6,826,2020-03-25T20:00:00Z,773,1,0,10,93,103
20200325,CA,2355,15921,48600,,53,66876,2020-03-25T20:00:00Z,18276,13,0,2469,253,2722
20200325,CO,912,6789,,84,11,7701,2020-03-25T20:00:00Z,7701,4,12,1285,192,1477
20200325,CT,875,5023,,113,19,5898,2020-03-25T20:00:00Z,5898,7,42,341,257,598
20200325,DC,183,1423,3,,2,1609,2020-03-25T20:00:00Z,1606,0,0,228,46,274
20200325,DE,115,36,,11,0,151,2020-03-25T20:00:00Z,151,0,11,0,24,24
20200325,FL,1682,15374,1233,316,22,18289,2020-03-25T20:00:00Z,17056,4,57,2247,270,2517
20200325,GA,1247,4932,,394,40,6179,2020-03-25T20:00:00Z,6179,8,394,474,221,695
20200325,GU,37,233,,10,1,270,2020-03-25T20:00:00Z,270,0,5,32,5,37
20200325,HI,90,4357,,6,1,4447,2020-03-25T20:00:00Z,4447,0,2,768,13,781
20200325,IA,145,2578,,36,1,2723,2020-03-25T20:00:00Z,2723,1,9,263,21,284
20200325,ID,73,1887,,,0,1960,2020-03-25T20:00:00Z,1960,0,0,0,23,23
20200325,IL,1865,12344,,,19,14209,2020-03-25T20:00:00Z,14209,3,0,2410,330,2740
20200325,IN,477,2879,,1,14,3356,2020-03-25T20:00:00Z,3356,2,0,313,112,425
20200325,KS,126,2360,,,3,2486,2020-03-25T20:00:00Z,2486,1,0,274,28,302
20200325,KY,157,2865,,,4,3022,2020-03-25T20:00:00Z,3022,0,0,1123,33,1156
20200325,LA,1795,9656,,491,65,11451,2020-03-25T20:00:00Z,11451,19,220,2441,407,2848
20200325,MA,1838,17956,,103,15,19794,2020-03-25T20:00:00Z,19794,4,9,5366,679,6045
20200325,MD,423,94,,,4,517,2020-03-25T20:00:00Z,517,1,0,0,74,74
20200325,ME,149,3177,,,,3326,2020-03-25T20:00:00Z,3326,0,0,163,24,187
20200325,MI,2294,2069,,,43,4363,2020-03-25T20:00:00Z,4363,19,0,0,503,503
20200325,MN,287,11188,,35,1,11475,2020-03-25T20:00:00Z,11475,0,14,5638,25,5663
20200325,MO,356,369,,,8,725,2020-03-25T20:00:00Z,725,5,0,0,173,173
20200325,MP,0,,,,0,0,2020-03-25T20:00:00Z,0,0,0,0,0,0
20200325,MS,377,1566,,117,2,1943,2020-03-25T20:00:00Z,1943,1,31,14,57,71
20200325,MT,53,1948,,,,2001,2020-03-25T20:00:00Z,2001,0,0,305,7,312
20200325,NC,504,9985,,29,1,10489,2020-03-25T20:00:00Z,10489,1,29,1844,106,1950
20200325,ND,39,1734,,8,0,1773,2020-03-25T20:00:00Z,1773,0,3,280,5,285
20200325,NE,61,1304,,,0,1365,2020-03-25T20:00:00Z,1365,0,0,329,9,338
20200325,NH,108,2356,804,13,1,3268,2020-03-25T20:00:00Z,2464,0,2,909,7,916
20200325,NJ,4402,10452,,,62,14854,2020-03-25T20:00:00Z,14854,18,0,2127,727,2854
20200325,NM,100,6742,,,1,6842,2020-03-25T20:00:00Z,6842,1,0,852,17,869
20200325,NV,321,4251,0,,6,4572,2020-03-25T20:00:00Z,4572,2,0,297,43,340
20200325,NY,30811,72668,,3805,285,103479,2020-03-25T20:00:00Z,103479,75,571,7063,5146,12209
20200325,OH,704,14060,,182,10,14764,2020-03-25T20:00:00Z,14764,2,37,13920,140,14060
20200325,OK,164,805,,59,5,969,2020-03-25T20:00:00Z,969,2,34,70,58,128
20200325,OR,209,4350,,61,8,4559,2020-03-25T20:00:00Z,4559,0,0,0,0,0
20200325,PA,1127,11193,,,11,12320,2020-03-25T20:00:00Z,12320,4,0,2550,276,2826
20200325,PR,51,317,70,,2,438,2020-03-25T20:00:00Z,368,0,0,49,12,61
20200325,RI,124,1143,196,16,,1463,2020-03-25T20:00:00Z,1267,0,16,23,18,41
20200325,SC,424,2303,,102,7,2727,2020-03-25T20:00:00Z,2727,2,102,291,126,417
20200325,SD,41,819,268,,1,1128,2020-03-25T20:00:00Z,860,0,0,29,11,40
20200325,TN,784,11012,,53,3,11796,2020-03-25T20:00:00Z,11796,1,53,495,117,612
20200325,TX,974,12520,,,12,13494,2020-03-25T20:00:00Z,13494,3,0,1763,564,2327
20200325,UT,346,6491,,,1,6837,2020-03-25T20:00:00Z,6837,0,0,967,47,1014
20200325,VA,391,4979,,59,9,5370,2020-03-25T20:00:00Z,5370,2,14,799,101,900
20200325,VI,17,55,2,,0,74,2020-03-25T20:00:00Z,72,0,0,55,0,55
20200325,VT,123,1589,,,8,1712,2020-03-25T20:00:00Z,1712,1,0,149,28,177
20200325,WA,2469,31712,,,123,34181,2020-03-25T20:00:00Z,34181,13,0,0,248,248
20200325,WI,585,10089,,,7,10674,2020-03-25T20:00:00Z,10674,2,0,1852,128,1980
20200325,WV,39,759,6,1,0,804,2020-03-25T20:00:00Z,798,0,0,149,19,168
20200325,WY,44,954,,,,998,2020-03-25T20:00:00Z,998,0,0,244,15,259
20200324,AK,36,986,,0,,1022,2020-03-24T20:00:00Z,1022,0,0,40,14,54
20200324,AL,215,2106,,,0,2321,2020-03-24T20:00:00Z,2321,0,0,441,48,489
20200324,AR,218,947,0,22,0,1165,2020-03-24T20:00:00Z,1165,0,9,41,44,85
20200324,AS,0,,,,0,0,2020-03-24T20:00:00Z,0,0,0,0,0,0
20200324,AZ,357,313,22,8,5,692,2020-03-24T20:00:00Z,670,3,8,4,92,96
20200324,CA,2102,13452,12100,,40,27654,2020-03-24T20:00:00Z,15554,13,0,885,369,1254
20200324,CO,720,5504,,72,7,6224,2020-03-24T20:00:00Z,6224,1,14,659,129,788
20200324,CT,618,4682,,71,12,5300,2020-03-24T20:00:00Z,5300,2,17,597,203,800
20200324,DC,137,1195,2,,2,1334,2020-03-24T20:00:00Z,1332,0,0,82,21,103
20200324,DE,91,36,,0,0,127,2020-03-24T20:00:00Z,127,0,0,0,23,23
20200324,FL,1412,13127,1008,259,18,15547,2020-03-24T20:00:00Z,14539,4,42,2064,241,2305
20200324,GA,1026,4458,,,32,5484,2020-03-24T20:00:00Z,5484,7,0,161,254,415
20200324,GU,32,201,,5,1,233,2020-03-24T20:00:00Z,233,0,5,40,3,43
20200324,HI,77,3589,,4,1,3666,2020-03-24T20:00:00Z,3666,1,4,634,21,655
20200324,IA,124,2315,,27,,2439,2020-03-24T20:00:00Z,2439,0,27,272,19,291
20200324,ID,50,1887,,,0,1937,2020-03-24T20:00:00Z,1937,0,0,578,3,581
20200324,IL,1535,9934,,,16,11469,2020-03-24T20:00:00Z,11469,4,0,1351,262,1613
20200324,IN,365,2566,,1,12,2931,2020-03-24T20:00:00Z,2931,5,0,865,106,971
20200324,KS,98,2086,,,2,2184,2020-03-24T20:00:00Z,2184,0,0,1669,16,1685
20200324,KY,124,1742,,,4,1866,2020-03-24T20:00:00Z,1866,1,0,-20,20,0
20200324,LA,1388,7215,,271,46,8603,2020-03-24T20:00:00Z,8603,12,271,2439,216,2655
20200324,MA,1159,12590,,94,11,13749,2020-03-24T20:00:00Z,13749,2,15,4445,382,4827
20200324,MD,349,94,,,3,443,2020-03-24T20:00:00Z,443,0,0,0,61,61
20200324,ME,125,3014,,,,3139,2020-03-24T20:00:00Z,3139,0,0,223,18,241
20200324,MI,1791,2069,,,24,3860,2020-03-24T20:00:00Z,3860,9,0,0,463,463
20200324,MN,262,5550,,21,1,5812,2020-03-24T20:00:00Z,5812,0,4,1039,27,1066
20200324,MO,183,369,,,3,552,2020-03-24T20:00:00Z,552,0,0,0,0,0
20200324,MP,0,,,,0,0,2020-03-24T20:00:00Z,0,0,0,0,0,0
20200324,MS,320,1552,,86,1,1872,2020-03-24T20:00:00Z,1872,0,53,409,71,480
20200324,MT,46,1643,,,,1689,2020-03-24T20:00:00Z,1689,0,0,497,12,509
20200324,NC,398,8141,,,0,8539,2020-03-24T20:00:00Z,8539,0,0,0,101,101
20200324,ND,34,1454,,5,0,1488,2020-03-24T20:00:00Z,1488,0,1,101,4,105
20200324,NE,52,975,,,0,1027,2020-03-24T20:00:00Z,1027,0,0,619,2,621
20200324,NH,101,1447,869,11,1,2417,2020-03-24T20:00:00Z,1548,1,11,73,23,96
20200324,NJ,3675,8325,45,,44,12045,2020-03-24T20:00:00Z,12000,17,0,7966,831,8797
20200324,NM,83,5890,,,,5973,2020-03-24T20:00:00Z,5973,0,0,569,18,587
20200324,NV,278,3954,0,,4,4232,2020-03-24T20:00:00Z,4232,0,0,464,33,497
20200324,NY,25665,65605,,3234,210,91270,2020-03-24T20:00:00Z,91270,96,599,8191,4790,12981
20200324,OH,564,140,,145,8,704,2020-03-24T20:00:00Z,704,2,41,0,122,122
20200324,OK,106,735,,25,3,841,2020-03-24T20:00:00Z,841,1,10,41,25,66
20200324,OR,209,4350,,61,8,4559,2020-03-24T20:00:00Z,4559,3,5,701,18,719
20200324,PA,851,8643,,,7,9494,2020-03-24T20:00:00Z,9494,1,0,2048,207,2255
20200324,PR,39,268,42,,2,349,2020-03-24T20:00:00Z,307,0,0,79,8,87
20200324,RI,106,1120,77,,,1303,2020-03-24T20:00:00Z,1226,0,0,188,0,188
20200324,SC,298,2012,,,5,2310,2020-03-24T20:00:00Z,2310,0,0,546,-1,545
20200324,SD,30,790,268,,1,1088,2020-03-24T20:00:00Z,820,0,0,28,2,30
20200324,TN,667,10517,,,2,11184,2020-03-24T20:00:00Z,11184,0,0,7245,52,7297
20200324,TX,410,10757,,,9,11167,2020-03-24T20:00:00Z,11167,1,0,1054,58,1112
20200324,UT,299,5524,,,1,5823,2020-03-24T20:00:00Z,5823,0,0,734,42,776
20200324,VA,290,4180,,45,7,4470,2020-03-24T20:00:00Z,4470,1,7,737,36,773
20200324,VI,17,,,,0,17,2020-03-24T20:00:00Z,17,0,0,0,0,0
20200324,VT,95,1440,,,7,1535,2020-03-24T20:00:00Z,1535,2,0,334,20,354
20200324,WA,2221,31712,,,110,33933,2020-03-24T20:00:00Z,33933,15,0,2833,225,3058
20200324,WI,457,8237,,,5,8694,2020-03-24T20:00:00Z,8694,0,0,1187,41,1228
20200324,WV,20,610,0,1,0,630,2020-03-24T20:00:00Z,630,0,0,166,4,170
20200324,WY,29,710,,,,739,2020-03-24T20:00:00Z,739,0,0,118,3,121
20200323,AK,22,946,,0,,968,2020-03-23T20:00:00Z,968,0,0,0,0,0
20200323,AL,167,1665,,,0,1832,2020-03-23T20:00:00Z,1832,0,0,201,29,230
20200323,AR,174,906,0,13,0,1080,2020-03-23T20:00:00Z,1080,0,0,195,9,204
20200323,AS,,,,,0,0,2020-03-23T20:00:00Z,0,0,0,0,0,0
20200323,AZ,265,309,6,,2,580,2020-03-23T20:00:00Z,574,0,0,27,113,140
20200323,CA,1733,12567,12100,,27,26400,2020-03-23T20:00:00Z,14300,0,0,1263,197,1460
20200323,CO,591,4845,,58,6,5436,2020-03-23T20:00:00Z,5436,1,9,770,116,886
20200323,CT,415,4085,,54,10,4500,2020-03-23T20:00:00Z,4500,5,11,1208,192,1400
20200323,DC,116,1113,,,2,1229,2020-03-23T20:00:00Z,1229,1,0,156,18,174
20200323,DE,68,36,,0,0,104,2020-03-23T20:00:00Z,104,0,0,0,12,12
20200323,FL,1171,11063,860,217,14,13094,2020-03-23T20:00:00Z,12234,1,32,3073,341,3414
20200323,GA,772,4297,,,25,5069,2020-03-23T20:00:00Z,5069,2,0,877,172,1049
20200323,GU,29,161,,,1,190,2020-03-23T20:00:00Z,190,0,0,35,2,37
20200323,HI,56,2955,,,,3011,2020-03-23T20:00:00Z,3011,0,0,2692,8,2700
20200323,IA,105,2043,,,,2148,2020-03-23T20:00:00Z,2148,0,0,828,15,843
20200323,ID,47,1309,,,0,1356,2020-03-23T20:00:00Z,1356,0,0,134,5,139
20200323,IL,1273,8583,,,12,9856,2020-03-23T20:00:00Z,9856,3,0,1312,224,1536
20200323,IN,259,1701,,1,7,1960,2020-03-23T20:00:00Z,1960,1,0,408,58,466
20200323,KS,82,417,,,2,499,2020-03-23T20:00:00Z,499,0,0,0,18,18
20200323,KY,104,1762,,,3,1866,2020-03-23T20:00:00Z,1866,0,0,290,5,295
20200323,LA,1172,4776,,,34,5948,2020-03-23T20:00:00Z,5948,14,0,2115,335,2450
20200323,MA,777,8145,,79,9,8922,2020-03-23T20:00:00Z,8922,4,8,2686,131,2817
20200323,MD,288,94,,,3,382,2020-03-23T20:00:00Z,382,0,0,0,44,44
20200323,ME,107,2791,,,,2898,2020-03-23T20:00:00Z,2898,0,0,527,18,545
20200323,MI,1328,2069,,,15,3397,2020-03-23T20:00:00Z,3397,7,0,0,293,293
20200323,MN,235,4511,,17,1,4746,2020-03-23T20:00:00Z,4746,0,5,0,66,66
20200323,MO,183,369,,,3,552,2020-03-23T20:00:00Z,552,0,0,0,93,93
20200323,MP,0,,,,0,0,2020-03-23T20:00:00Z,0,0,0,0,0,0
20200323,MS,249,1143,,33,1,1392,2020-03-23T20:00:00Z,1392,0,0,29,42,71
20200323,MT,34,1146,,,,1180,2020-03-23T20:00:00Z,1180,0,0,0,3,3
20200323,NC,297,8141,,,0,8438,2020-03-23T20:00:00Z,8438,0,0,1958,42,2000
20200323,ND,30,1353,,4,0,1383,2020-03-23T20:00:00Z,1383,0,1,93,2,95
20200323,NE,50,356,,,0,406,2020-03-23T20:00:00Z,406,0,0,0,2,2
20200323,NH,78,1374,889,,,2341,2020-03-23T20:00:00Z,1452,0,0,186,13,199
20200323,NJ,2844,359,94,,27,3297,2020-03-23T20:00:00Z,3203,7,0,32,930,962
20200323,NM,65,5321,,,,5386,2020-03-23T20:00:00Z,5386,0,0,599,8,607
20200323,NV,245,3490,0,,4,3735,2020-03-23T20:00:00Z,3735,2,0,1042,55,1097
20200323,NY,20875,57414,,2635,114,78289,2020-03-23T20:00:00Z,78289,0,661,11181,5707,16888
20200323,OH,442,140,,104,6,582,2020-03-23T20:00:00Z,582,3,21,0,91,91
20200323,OK,81,694,102,15,2,877,2020-03-23T20:00:00Z,775,0,4,25,14,39
20200323,OR,191,3649,,56,5,3840,2020-03-23T20:00:00Z,3840,1,13,785,30,815
20200323,PA,644,6595,,,6,7239,2020-03-23T20:00:00Z,7239,4,0,1631,165,1796
20200323,PR,31,189,35,,2,255,2020-03-23T20:00:00Z,220,2,0,6,8,14
20200323,RI,106,932,216,,,1254,2020-03-23T20:00:00Z,1038,0,0,0,23,23
20200323,SC,299,1466,,,5,1765,2020-03-23T20:00:00Z,1765,2,0,0,104,104
20200323,SD,28,762,265,,1,1055,2020-03-23T20:00:00Z,790,0,0,22,7,29
20200323,TN,615,3272,,,2,3887,2020-03-23T20:00:00Z,3887,2,0,0,110,110
20200323,TX,352,9703,,,8,10055,2020-03-23T20:00:00Z,10055,3,0,1281,18,1299
20200323,UT,257,4790,,,1,5047,2020-03-23T20:00:00Z,5047,0,0,1282,76,1358
20200323,VA,254,3443,,38,6,3697,2020-03-23T20:00:00Z,3697,3,6,325,35,360
20200323,VI,17,,,,0,17,2020-03-23T20:00:00Z,17,0,0,0,11,11
20200323,VT,75,1106,,,5,1181,2020-03-23T20:00:00Z,1181,3,0,0,23,23
20200323,WA,1996,28879,,,95,30875,2020-03-23T20:00:00Z,30875,1,0,3551,203,3754
20200323,WI,416,7050,,,5,7466,2020-03-23T20:00:00Z,7466,1,0,820,31,851
20200323,WV,16,444,4,1,0,464,2020-03-23T20:00:00Z,460,0,0,59,4,63
20200323,WY,26,592,,,,618,2020-03-23T20:00:00Z,618,0,0,154,2,156
20200322,AK,22,946,,0,,968,2020-03-22T20:00:00Z,968,0,0,188,8,196
20200322,AL,138,1464,,,0,1602,2020-03-22T20:00:00Z,1602,0,0,1436,14,1450
20200322,AR,165,711,119,13,0,995,2020-03-22T20:00:00Z,876,0,13,144,47,191
20200322,AS,,,,,0,0,2020-03-22T20:00:00Z,0,0,0,0,0,0
20200322,AZ,152,282,87,,2,521,2020-03-22T20:00:00Z,434,1,0,42,48,90
20200322,CA,1536,11304,,,27,12840,2020-03-22T20:00:00Z,12840,3,0,55,257,312
20200322,CO,475,4075,,49,5,4550,2020-03-22T20:00:00Z,4550,1,5,758,112,870
20200322,CT,223,2877,,43,5,3100,2020-03-22T20:00:00Z,3100,1,43,771,29,800
20200322,DC,98,957,,,1,1055,2020-03-22T20:00:00Z,1055,0,0,451,21,472
20200322,DE,56,36,,,0,92,2020-03-22T20:00:00Z,92,0,0,0,11,11
20200322,FL,830,7990,963,185,13,9783,2020-03-22T20:00:00Z,8820,1,27,1411,172,1583
20200322,GA,600,3420,,,23,4020,2020-03-22T20:00:00Z,4020,9,0,863,93,956
20200322,GU,27,126,,,1,153,2020-03-22T20:00:00Z,153,1,0,18,12,30
20200322,HI,48,263,,,,311,2020-03-22T20:00:00Z,311,0,0,139,11,150
20200322,IA,90,1215,,,,1305,2020-03-22T20:00:00Z,1305,0,0,166,22,188
20200322,ID,42,1175,,,0,1217,2020-03-22T20:00:00Z,1217,0,0,295,11,306
20200322,IL,1049,7271,,,9,8320,2020-03-22T20:00:00Z,8320,3,0,1783,296,2079
20200322,IN,201,1293,,1,6,1494,2020-03-22T20:00:00Z,1494,2,0,586,75,661
20200322,KS,64,417,,,2,481,2020-03-22T20:00:00Z,481,0,0,0,9,9
20200322,KY,99,1472,,,3,1571,2020-03-22T20:00:00Z,1571,1,0,758,45,803
20200322,LA,837,2661,,,20,3498,2020-03-22T20:00:00Z,3498,4,0,481,252,733
20200322,MA,646,5459,,71,5,6105,2020-03-22T20:00:00Z,6105,4,10,707,121,828
20200322,MD,244,94,,,3,338,2020-03-22T20:00:00Z,338,1,0,0,54,54
20200322,ME,89,2264,,,,2353,2020-03-22T20:00:00Z,2353,0,0,0,16,16
20200322,MI,1035,2069,,,8,3104,2020-03-22T20:00:00Z,3104,3,0,0,248,248
20200322,MN,169,4511,,12,1,4680,2020-03-22T20:00:00Z,4680,0,12,559,31,590
20200322,MO,90,369,,,3,459,2020-03-22T20:00:00Z,459,0,0,0,17,17
20200322,MP,0,,,,0,0,2020-03-22T20:00:00Z,0,0,0,0,0,0
20200322,MS,207,1114,,33,1,1321,2020-03-22T20:00:00Z,1321,0,33,419,67,486
20200322,MT,31,1146,,,,1177,2020-03-22T20:00:00Z,1177,0,0,0,11,11
